name,base_plan,address,services,comorbidities,values,date
WS PRO ACADEMY,Basic,"R. Ana Custódio Parisse, 1400 - São Joaquim, Franca - SP, 14406-300, Brasil",Personal Trainer - Musculação,"Armários,Chuveiro,Equipamentos de treino,Personal trainer,Vestiário,Wi-Fi",59.9,2025-06-16
Academia Mr. Olympia,Starter,"Av. Brasil, 1401 - Vila Aparecida, Franca - SP, 14401-234, Brasil",Fitness,"Armários,Loja de artigos esportivos",35.9,2025-06-16
Play Academia,Basic,"Av. Ver. Jose Granzotte, 2584 - Vila Santa Cruz, Franca - SP, 14403-500, Brasil","Fitness,Jump,Ritmos,Treinamento Funcional,Zumba","Ar condicionado,Armários,Chuveiro,Equipamentos de treino,Loja de artigos esportivos,Mini bar,Personal trainer,Toalhas de treino,Vestiário,Wi-Fi",59.9,2025-06-16
Number One,Starter,"R. Antônio Bernardes Pinto, 4491 - Vila Chico Julio, Franca - SP, 14405-233, Brasil","Axé,Capoeira,Fitness,Jiu-jitsu,Jump,Karatê,Local,Muay Thai,Passo,Treinamento Funcional,Zumba","Ar condicionado,Armários,Vestiário",35.9,2025-06-16
DL Fit Energia em Movimento,Silver+,"Av. Pres. Vargas, 2171 - Jardim Planalto, Franca - SP, 14409-055, Brasil","Acro Yoga,Aero Pilates,Circo,Dança,Functional Bodybuilding,Jump,Muay Thai,Pilates Fit,Tecido Acrobático","Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Loja de artigos esportivos,Nutricionista,Personal trainer",189.9,2025-06-16
Cross Life A. Piratininga,Basic+,"Av. Hugo Betarello, 3580 - Vila Santa Cruz, Franca - SP, 14403-220, Brasil",Cross Training,"Ar condicionado,Área infantil,Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Vestiário,Wi-Fi",89.9,2025-06-16
Ashtanga Yoga - 2 Unidade,Silver+,"R. dos Pracinhas, 1840 - Res. Paraiso, Franca - SP, 14403-160, Brasil",Yoga,Armários,189.9,2025-06-16
Academia Plena Forma,Basic,"R. Orestes Tristão, 699 - Vila Rezende, Franca - SP, 14406-520, Brasil",Fitness,Armários,59.9,2025-06-16
Academia Viva em Forma Unidade III,Basic,"Av. Paulo VI, 1505 - Jardim Alvorada, Franca - SP, 14403-143, Brasil","Bicicleta,Corrida na Esteira,Fit Training,Fitness,Functional Bodybuilding,Queima de Gordura","Ar condicionado,Área infantil,Armários,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Estacionamento,Nutricionista",59.9,2025-06-16
Fit Pró3.0 Academia,Silver,"Av. Reinaldo Chioca, 1520 - Parque Progresso, Franca - SP, 14403-085, Brasil","Aulas em grupo,Fitness","Armários,Vestiário",139.9,2025-06-16
Corpo In Movimento,Starter,"Av. Dom Pedro I, 725 - Parque Moema, Franca - SP, 14409-170, Brasil","Circuito,Fitness,Jump,Zumba","Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Loja de artigos esportivos,Vestiário,Wi-Fi",35.9,2025-06-16
Ekofitness,Starter,"R. Minas Gerais, 1816 - Vila Aparecida, Franca - SP, 14401-229, Brasil","Aeróbico,Circuito,Dança,Funcional,Jump","Ar condicionado,Armários,Chuveiro,Equipamentos de treino,Itens de higiene pessoal,Nutricionista,Vestiário,Wi-Fi",35.9,2025-06-16
Crossfit Vitrini,Silver,"Av. dos Sapateiros, 1771 - Núcleo Agricola Alpha, Franca - SP, 14403-183, Brasil",Crossfit,"Aquecedor,Área infantil,Armários,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Itens de higiene pessoal,Vestiário,Wi-Fi",139.9,2025-06-16
Fenix Academia,Starter,"Rua Francisco Marques, 1913 - Jardim Sao Gabriel, Franca - SP, 14406-652, Brasil",Fitness,"Armários,Vestiário",35.9,2025-06-16
JM Fitness,Basic,"R. Alexandre Spereta, 1710 - São Joaquim, Franca - SP, 14406-307, Brasil","Dança,Fitness,Funcional","Equipamentos de treino,Nutricionista,Wi-Fi",59.9,2025-06-16
Franca Fitness,Basic,"Av. Dom Pedro I, 1351 - Jardim Dr. Antonio Petraglia, Franca - SP, 14409-170, Brasil","Abdominais,Circuito Funcional,Combate,Fit Dance,Fitness,Localizada,Zumba","Armários,Chuveiro,Vestiário,Wi-Fi",59.9,2025-06-16
KHT Prime,Basic+,"Av. Hugo Betarello - Jardim Piratininga, Franca - SP, 14403-580, Brasil",Fitness,"Ar condicionado,Chuveiro,Equipamentos de treino,Wi-Fi",89.9,2025-06-16
Kings Academia,Starter,"Av. Nazira Aidar, 5021 - Jardim Redentor, Franca - SP, 14409-240, Brasil","Fitness,Funcional Hiit","Armários,Wi-Fi",35.9,2025-06-16
Centro de Aulas Custódio e Zanin,Basic,"Av. Dr. Hélio Palermo, 6740 - sala 1 - Estacao, Franca - SP, 14402-020, Brasil","Abdominais,Circuit training,Circuito Funcional,Hiit Training","Armários,Cadeado e chave,Chuveiro,Equipamentos de treino,Estacionamento,Mini bar,Personal trainer,Vestiário,Wi-Fi",59.9,2025-06-16
